project_id;Source;Project Name;Entities;Capture or Storage Details;Country;Location;State;Sector Classification;Sector Description;Subsector Classification;Subsector Description;Approx. Latitude;Approx. Longitude;Onshore/Offshore;Capacity (Metric Tons Per Annum);Storage Classification;Storage Description;Year Announced;Year Operational;Status;Notes;Month Announced;Reference;Capture Lead Company;Storage Lead Company;Transport Operator;Storage Capacity (Mt total);Funding Source;Funding Amount (EUR M);EU Funding Program;FID Date;Project Website;approximate_location;source
DK-021;CATF;ARC Amager Bakke CCS (CopenCapture);"E.ON Carbon Capture Solutions Copenhagen; ARC";C4. CCS at Amager Bakke / CopenHill waste-to-energy CHP facility;Denmark;Copenhagen, Denmark;;Heat & Power;Heat & Power;Waste-to-Energy;Waste-to-Energy;55.673;12.613;Onshore;400000;Dedicated Saline Storage;Dedicated Saline Storage;2025;;Planned;"Agreement signed March 2025; part of Danish CCS tender (full capture by 2030). Builds on ARC’s 2020 IF proposal (not awarded).";E.ON / ARC CopenCapture announcement, Mar 2025;https://carbonherald.com/e-on-launches-new-carbon-capture-project-in-denmark/;;;;;;;;;;;CATF
DK-022;CATF;Vestforbrænding Ejby Glostrup CCS;"Vestforbrænding; Technip; CIP";C4. CCS at Vestforbrænding WtE facility in Glostrup;Denmark;Glostrup, Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.698;12.401;Onshore;500000;Dedicated Saline Storage;Dedicated Saline Storage;2023;2026;Planned;Received feasibility/FEED support from Danish Energy Agency. FEED with Technip Energies for;December;https://www.tanksterminals.com/storage-tanks/21012025/cip-and-vestforbrnding-to-partner-up-on-ccs/;;;;;;;;;;;CATF
DK-023;CATF;ARGO CCS;ARGO;C4. CCS at ARGO waste-to-energy plant;Denmark;Roskilde area (Zealand), Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.641;12.083;Onshore;350000;Dedicated Saline Storage;Dedicated Saline Storage;;2026;Planned;;December;https://argo.dk/en/om-os/presse/nyheder/argo-tager-et-nyt-vigtigt-skridt-mod-co%E2%82%82-fangst-i-roskilde/;;;;;;;;;;;CATF
DK-024;CATF;BIOFOS CCS (WWTP);BIOFOS;C4. CCS at BIOFOS wastewater treatment facilities (sludge incineration);Denmark;Copenhagen, Denmark;;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;Waste-to-Energy;55.7;12.5;Onshore;Unknown;Dedicated Saline Storage;Dedicated Saline Storage;;2027;Planned;"Bio-CCS from sludge incineration at wastewater facilities; first of its kind in Denmark";December;https://www.kemira.com/stories/sustainability-steers-innovation-at-copenhagens-wastewater-treatment-plants/;;;;;;;;;;;CATF
ES-001;CATF;SOMZERO CO₂ (Cemex Alcanar);Cemex, Cetaqua, Carbon Clean, Enagás Renovable;"Post-combustion capture at Cemex Alcanar cement plant; CO₂ transported via pipeline/ship to TarraCO₂ storage hub";Spain;Catalonia, Spain;;Industrial;Industrial;Cement;Cement;40.576635;0.543689;Onshore;1100000;Unknown;Unknown;2024;2030;In Development;"Supported by EU Innovation Fund; Cemex flagship CCS project in Spain";;https://climate.ec.europa.eu/system/files/2024-01/policy_ccs_implementation_20231215_presentation_en.pdf;;;;;;;;;;;CATF
ES-002;CATF;CO2necta;LafargeHolcim, Enagás and Saggas;A capture plant at Holcim’s Sagunto facility will feed CO₂ via Enagás infrastructure to Saggas’ terminal at the Port of Sagunto, where it’s liquefied and shipped for geological storage.;Spain;Sagunto, Spain;;Industrial;Industrial;Cement;Cement;39.66366992;-0.246932415;Onshore;560000;Unknown;Unknown;2025;;In Development;Geological storage;January;https://www.globalcement.com/news/item/18342-holcim-enagas-and-saggas-to-develop-co2-capture-and-storage-project-at-sagunto-plant;;;;;;;;;;;CATF
ES-003;CATF;Arrigorriaga Cement Plant;Heidelberg Materials and Enagás;CO₂ capture, transport, liquefaction, and storage project to assess feasibility and design infrastructure, using Enagás’ regasification terminals. The project supports carbon capture at Heidelberg’s Añorga and Arrigorriaga cement plants.;Spain;Arrigorriaga, Spain;;Industrial;Industrial;Cement;Cement;43.210431;-2.909431;Onshore;Unknown;Unknown;Unknown;2024;2030;In Development;Geological storage;November;https://www.globalcement.com/news/item/18113-heidelberg-materials-hispania-partners-with-enagas-for-carbon-capture-and-storage-project-in-northern-spain;;;;;;;;;;;CATF
ES-004;CATF;TarraCO2-Storage;REPSOL EXPLORACION SA;Offshore CO₂ storage research;Spain;Tarragona, Spain;;Storage;Storage;Storage;Storage;41.09;1.215534;Onshore;2000000;Dedicated Saline Storage;Dedicated Saline Storage;2023;;In Development;Selected for grant preparation IF23 large-scale;;https://climate.ec.europa.eu/eu-action/eu-funding-climate-action/innovation-fund/innovation-fund-projects_en;;;;;;;;;;;CATF
FI-001;CATF;SHARC – Sustainable Hydrogen and Recovery of Carbon ;Neste;CO2 captured at hydrogen facility;Finland;Porvoo, Finland;;Industrial;Industrial;Hydrogen;Hydrogen;60.30821;25.521463;Onshore;360000;Unknown;Unknown;2021;;In Development;The project has received funding from the EU Innovation Fund;;;;;;;;;;;;;CATF
FR-001;CATF;lowCAL;"Aluminium Dunkerque Sas, Fives, Trimet, Rio Tinto (consortium)
";Capture form aluminium production. The first stage (2024-2027) involves testing and prototyping carbon capture technology, while the second stage (starting in 2028) focuses on scaling up its industrial deployment. Part of Dunkirk Hub.;France;Dunkirk, France;;Industrial;Industrial;Aluminium;Aluminium;51.00132;2.1694;Onshore;Unknown;Unknown;Unknown;2023;;In Development;Included in France 2030 Investment Plan.;October;https://www.fivesgroup.com/newspress/detail-view/first-co2-capture-solutions-for-the-aluminium-industry;;;;;;;;;;;CATF
FR-002;CATF;CalCC;Chaux et Dolomies du Boulonnais (Lhoist Group);Capture from lime plant and transport to export terminal at Dunkirk;France;France;;Industrial;Industrial;Cement;Lime;50.813614;1.78149;Onshore;610000;Unknown;Unknown;2022;;In Development;Selected by EU Innovation Fund;;https://ec.europa.eu/clima/system/files/2022-07/LSC2_List_of_pre-selected_projects_6.pdf;;;;;;;;;;;CATF
FR-003;CATF;K6;Eqiom, Air Liquide;CO2 captured at cement production facility;France;Lumbres, France;;Industrial;Industrial;Cement;Cement;50.69912;2.109775;Onshore;810000;Unknown;Unknown;2021;;In Development;The project has received funding from the EU Innovation Fund;;;;;;;;;;;;;CATF
FR-004;CATF;"VAIA: Vicat Advanced Industrial 
Alliance";Vicat, Elengy, Société du Pipeline Sud-Européen (SPSE), Elengy, ENI, RTE;CO₂ capture plant at Vicat’s Montalieu-Vercieu site with 1Mt/yr capacity, aiming for 94% emission reduction. CO₂ may be transported by barge, train, or pipeline to Fos-sur-Mer to end up in geological storage.Part of Rhône CO₂ hub.;France;Montalieu, France;;Industrial;Industrial;Cement;Cement;45.80301886;5.419228997;Onshore;1200000;Unknown;Unknown;2023;2030;In Development;IF24Call - Invited to grant agreement preparation;June;https://www.vicat.com/news/vicat-group-launches-vaia-project-accelerator-decarbonization-ambitions;;;;;;;;;;;CATF
FR-005;CATF;Holcim Saint-Pierre-la-Cour CCS;Holcim, Holcim, Elengy, GRTgaz;"Scalable carbon capture at cement plant; 1 Mtpa CO2 captured and transported via pipeline and/or ship for underwater geological storage at Saint Nazaire port as part of GOCO2 cluster.";France;Saint-Pierre-la-Cour, France;;Industrial;Industrial;Cement;Cement;48.1082078033391;-1.03090221433678;Onshore;1000000;Unknown;Unknown;2023;2030;In Development;Scalable CC technology with infrastructure development for CO2 transport to Saint Nazaire port.;;https://video.holcim.com/goco2-unlocking-the-potential-of;;;;;;;;;;;CATF
FR-006;CATF;CarboClearTech;Lafarge Ciments;Carbon capture for storage project at Martres-Tolosane Cement Plant;France;Martres-Tolosane, France;;Industrial;Industrial;Cement;Cement;43.1861454202129;0.988631740134906;Onshore;700000;Unknown;Unknown;2023;;In Development;IF23 call invited grant preparation;;https://www.holcim.com/media/media-releases/eu-innovation-fund-cleantech-france;;;;;;;;;;;CATF
FR-007;CATF;AirvaultGOCO₂;Heidelberg Materials, GRTgaz;"Co2 capture from Airvault cement facility, biogenic portion of the captured CO₂,, is to be used for the production of e-fuels. Project is part of the GOCO₂ initiative; Co2 transported by pipeline and ship";France;Airvault, France;;Industrial;Industrial;Cement;Cement;46.8114055327859;-0.135659656575432;Onshore;1000000;Unknown;Unknown;2024;2030;In Development;"IF24Call - Invited to grant agreement preparation. First large-scale CCUS network for deep inland emitters starting from the Europe’s first zero water intake cement plant.
";;https://www.heidelbergmaterials.com/en/pr-2024-03-13;;;;;;;;;;;CATF
FR-008;CATF;Neau GOCO2;Lhoist;"Capture at Lhoist’s Neau lime plant; part of the Grand Ouest CO₂";France;Neau, France;;Industrial;Industrial;Cement;Lime;48.158987;-0.469468;Onshore;Unknown;Unknown;Unknown;2023;;Planned;Part of GOCO₂ cluster;;https://concertation.goco2.fr/fr/;;;;;;;;;;;CATF
FR-009;CATF;"Ameli Lime
";Ameli Green Lime Solutions (JV ArcelorMittal Global Holding, Sigmaroc, Carrières Du Boulonnais), ArcelorMittal, Aqualung;Project aiming to be Europe’s first fully net-zero CO2 quicklime production facility. The project involves carbon capture, utilization, and storage (CCUS) and plans to use Aqualung's membrane technology across all existing operational kilns. Part of Dunkirk Co2 hub.;France;Dunkirk, France;;Industrial;Industrial;Cement;Cement;51.0113457183461;2.15874961458366;Onshore;900000;Unknown;Unknown;2022;;In Development;;;https://www.sigmaroc.com/case-study/creating-net-zero-lime;;;;;;;;;;;CATF
FR-010;CATF;Oak DAC;RepAir, C-Questra;First DAC project in France. Phase 1 capture of 3,000 TPA up to 100,000 TPA by phase 2. ;France;Grandpuits, France;;Direct Air Capture;Direct Air Capture;Direct Air Capture;Direct Air Capture;48.5949507736199;2.95949966985685;Onshore;100000;Dedicated Saline Storage;Dedicated Saline Storage;2024;;In Development;;;https://www.euronews.com/next/2024/08/19/eu-to-get-its-first-onshore-carbon-removal-and-storage-facility-in-france;;;;;;;;;;;CATF
FR-011;CATF;Yara – Le Havre Ammonia CCS;Yara International;"CO₂ capture from ammonia production; export via Le Havre";France;Le Havre , France;;Industrial;Industrial;Other Subsector;Ammonia production;49.49;0.11;Onshore;Unknown;Unknown;Unknown;2021;;In Development;initiative in the Normandy industrial basin of France;;Firms weigh Normandy CCS infrastructure project | Latest Market News;;;;;;;;;;;CATF
FR-012;CATF;Borealis Chemicals CCS;Borealis;"CO₂ capture from chemicals/fertilizer operations; export via Le Havre";France;Grand-Quevilly, France;;Industrial;Industrial;Other Subsector;Chemicals production/fertiliser;49.41;1.04;Onshore;Unknown;Unknown;Unknown;2021;;In Development;initiative in the Normandy industrial basin of France;;Firms weigh Normandy CCS infrastructure project | Latest Market News;;;;;;;;;;;CATF
FR-013;CATF;Gonfreville Raffinerie CCS;TotalEnergies;"CO₂ capture from refinery/hydrogen units; export via Le Havre";France;Gonfreville-l’Orcher, France;;Industrial;Industrial;Other Subsector;Refinery & chemicals;49.49;0.23;Onshore;Unknown;Unknown;Unknown;2021;;In Development;initiative in the Normandy industrial basin of France;;Our refinery in Normandy: a new outlook | TotalEnergies.com;;;;;;;;;;;CATF
FR-014;CATF;Esso SAF CCS;Esso SAF (ExxonMobil);"CO₂ capture from refinery & chemical units; export via Le Havre";France;Notre-Dame-de-Gravenchon (Port-Jérôme), France;;Industrial;Industrial;Other Subsector;Refinery & chemicals;49.49;0.57;Onshore;Unknown;Unknown;Unknown;2021;;In Development;initiative in the Normandy industrial basin of France;;Air Liquide, Borealis, Esso, TotalEnergies and Yara collaborate to help decarbonize the industrial basin of Normandy in France | ExxonMobil;;;;;;;;;;;CATF
FR-015;CATF;Pycasso;Avenia, Pau Bearn Pyrenees, Repsol, Snam, Lafarge, Terega, Geostock Entrepose, Schlumberger;Multiple industrial sources in France and Spain, including chemicals, paper, waste, cement;France;Lacq, France;;Storage;Storage;Storage;Storage;43.410721;-0.635305;Onshore;15000000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;;In Development;;;https://www.pole-avenia.com/fr/article/le-pole-avenia-lance-pycasso;;;;;;;;;;;CATF
FR-016;CATF;Le Havre CO₂ Export Terminal & Hub Infrastructure;"Air Liquide; Borealis; Esso SAF (ExxonMobil); TotalEnergies; Yara , HAROPA Port";Liquefaction and loading terminal to export captured CO₂ from Normandy basin to North Sea storage;France;Le Havre, Normandy, France;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);49.476576;0.150169;Onshore;Unknown;Unknown;Unknown;2021;;Planned;Export hub for Normandy Basin emitters sending CO₂ offshore.;;https://corporate.esso.fr/newsroom/2024/consortium-eco2-normandy;;;;;;;;;;;CATF
FR-017;CATF;D’Artagnan Dunkirk CO₂ Hub;"Dunkerque LNG; Air Liquide; industrial emitters";CO₂ terminal with liquefaction, pipeline network and ship export;France;Dunkirk, France;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal ;51.045671;2.353325;Onshore;1500000;Dedicated Saline Storage;Dedicated Saline Storage;2023;2027;In Development;"Export hub with liquefaction and ship/pipeline connections. Phase 1 ~1.5 Mtpa; scalable pathway toward ~10 Mtpa";;https://www.airliquide.com/group/press-releases-news/2024-06-18/decarbonization-dunkirk-basin-air-liquide-and-dunkerque-lng-co2-infrastructure-project-takes-major;;;;;;;;;;;CATF
FR-018;CATF;Rhône CO₂ Terminal;Elengy,SPSE;"CO₂ captured in Rhône valley; liquefaction & export via Fos Tonkin (Fos-sur-Mer) to offshore storag";France;Fos-sur-Mer, France;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);43.423038;4.899394;Onshore;Unknown;Unknown;Unknown;;;Planned;;;https://www.elengy.com/en/media/our-projects-making/rhone-co2;;;;;;;;;;;CATF
FR-019;CATF;GOCO₂ Montoir-de-Bretagne/St Nazaire Terminal;Elengy, Grand Port Maritime de Nantes Saint-Nazaire;Liquefy and store CO₂ on-site. Load liquefied CO₂ (LCO₂) onto ships for export to offshore storage sites;France;Saint-Nazaire, France;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);47.28398;-2.193095;Onshore;2300000;Unknown;Unknown;;;Planned;;;https://sofregaz.fr/news/projects/goco2-project/;;;;;;;;;;;CATF
FR-020;CATF;PYCASSO – Bayonne Node Terminal;Teréga, Lafarge France;Export to offshore storage PYCASSO;France;Bayonne, France;;Industrial;Industrial;Transport Hub;CO₂ Export Terminal (Port);43.507316;-1.489544;Onshore;Unknown;Unknown;Unknown;;;Planned;;;https://www.pycasso-project.eu/;;;;;;;;;;;CATF
FR-021;CATF;Port-La-Nouvelle Hydrogen & CO₂ Hub;Port-La-Nouvelle Hydrogen & CO₂ Hu;Port-La-Nouvelle Hydrogen & CO₂ Hu;France;Port-La-Nouvelle, France;;Industrial;Industrial;Transport Hub;CO₂ and Hydrogen Import/Export Terminal (Port);43.022384;3.053164;Onshore;Unknown;Unknown;Unknown;;;Planned;;;https://portsetcorridors.com/2024/port-la-nouvelle-un-hub-pour-lhydrogene-et-le-co2/;;;;;;;;;;;CATF
GB-001;CATF;Lynemouth Power BECCS;Lynemouth Power Ltd.;Capture from biomass power generation;UK;UK;;Heat and Power;Heat and Power;Biomass;Biomass;55.20463751;-1.520701117;Onshore;2750000;Unknown;Unknown;;;;;;;;;;;;;;;;;CATF
GB-002;CATF;Ince Bio Energy (InBECCS);Evero;"BECCS at Ince bioenergy facility; integration with HyNet";UK;UK;;Heat and Power;Heat and Power;Biomass;Biomass;53.285272;-2.80288;Onshore;250000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;;;Planned;;;https://envirotecmagazine.com/2025/08/06/uks-first-commercial-scale-beccs-project-gets-green-light/;;;;;;;;;;;CATF
GB-003;CATF;Padeswood CCS;Hanson, Heidelberg Materials;Capture from cement plant, offshore storage as part of HyNet;UK;Padeswood, UK;;Industrial;Industrial;Cement;Cement;53.1542869600416;-3.06204804592877;Onshore;800000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2018;;In Development;Part of HyNet;;https://www.padeswoodccs.co.uk/en;;;;;;;;;;;CATF
GB-004;CATF;Lhoist Hindlow;Lhoist;CO₂ capture from lime production (Peak Cluster);UK;Derbyshire, UK;;Industrial;Industrial;Cement;Lime;53.219225;-1.871098;Onshore;230000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;2030;In Development;Part of Peak Cluster;;https://peakcluster.co.uk/about/;;;;;;;;;;approximate_location;CATF
GB-005;CATF;Hope Cement Works;Breedon;CO₂ capture from cement production (Peak Cluster);UK;Derbyshire, UK;;Industrial;Industrial;Cement;Cement;53.34;-1.75;Onshore;1000000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;2030;In Development;Part of Peak Cluster;;https://peakcluster.co.uk/about/;;;;;;;;;;;CATF
GB-006;CATF;Buxton Lime Net Zero;Tarmac;CO₂ capture from lime production facility (Peak Cluster);UK;Derbyshire, UK;;Industrial;Industrial;Cement;Lime;53.303224;-1.861004;Onshore;Unknown;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;2030;In Development;Part of Peak Cluster;;https://peakcluster.co.uk/about/;;;;;;;;;;;CATF
GB-007;CATF;Sizewell C DAC;Sizewell C, Associated British Ports (ABP) , Birmingham University, Nottingham University, Helical, Atkins and Altrad Babcock;"
DAC facility aims to capture CO2 from ambient air using novel heat-assisted DAC technology, heat transported through underground pipes from the Sizewell C Nuclear power plant.";UK;Port of Lowestoft, UK;;Direct Air Capture;Direct Air Capture;Direct Air Capture;Direct Air Capture;52.472432911881;1.74651130355226;Onshore;1500000;Unknown;Unknown;2023;;In Development;The UK GOV awarded £3m to develop a novel heat-assisted DAC technology as part of the Greenhouse Gas Removals competition.;March;https://www.sizewellc.com/news-views/agreement-for-direct-air-capture-plans-at-port-of-lowestoft/;;;;;;;;;;;CATF
GB-008;CATF;Drax BECCS Plant ;Drax ;Biomass-fired power plant - part of Zero Carbon Humber;UK;Drax, UK;;Heat and Power;Heat and Power;Biomass;Biomass power plant;53.7389;-0.996018;Onshore;8000000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;;;https://beccs-drax.com/our-proposal/;;;;;;;;;;;CATF
GB-009;CATF;Killingholme Low Carbon Power (CCGT CCS);Uniper UK Ltd;CCGT (Combined Cycle Gas Turbine) power station with integrated Carbon Capture and Storage;UK;UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.64;-0.28;Onshore;Unknown;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2022;;Planned;CCGT power station with post-combustion carbon capture designed to capture up to ~95% of CO₂ emissions.;; ;;;;;;;;;;;CATF
GB-010;CATF;H2H Saltend;Equinor;Low-carbon hydrogen production, 600MW production target, aims to start operations 2026/2027, part of east coast cluster;UK;Hull, UK;;Industrial;Industrial;Hydrogen;Hydrogen;53.7340677159336;-0.238886232584993;Onshore;900000;Dedicated Saline Storage;Dedicated Saline Storage;2022;;In Development;Part of East Coast Cluster, has passed phase 2 of government's cluster sequencing program;August;https://www.equinor.com/energy/h2h-saltend;;;;;;;;;;;CATF
GB-011;CATF;H2 Teesside;BP;160,000 tonnes of CCUS-enabled blue hydrogen production and start-up in 2027, as part of the East Coast Cluster;UK;Teesside, UK;;Industrial;Industrial;Hydrogen;Hydrogen;54.5246742855954;-1.29546357928623;Onshore;2000000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;Selected for Track 1 Project Negotiation List, Part of East Coast Cluster;March;https://energyindustryreview.com/power/hygreen-teesside-bps-first-green-h2-project-in-the-uk/;;;;;;;;;;;CATF
GB-012;CATF;Acorn Hydrogen;Pale Blue Dot, Shell and Harbour Energy;Capture from blue hydrogen production;UK;Aberdeenshire, UK;;Industrial;Industrial;Hydrogen;Hydrogen;57.1504479785396;-2.10415585597113;Onshore;450000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir and Saline Storage;2017;;In Development;;;https://www.theacornproject.uk/projects;;;;;;;;;;;CATF
GB-013;CATF;H2NorthEast;Kellas Midstream Ltd.;355MW, scaling to 1GW by 2030, CCUS enabled blue hydrogen production, as part of East Coast Cluster;UK;Teesside, UK;;Industrial;Industrial;Hydrogen;Hydrogen;54.6099836529238;-1.19659717368226;Onshore;2000000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;Part of East Coast Cluster;;https://www.kellasmidstream.com/news-kellas/hydrogen-production-in-teesside;;;;;;;;;;;CATF
GB-014;CATF;Humber H2ub;Uniper;Low-carbon hydrogen production, Part of East Coast Cluster. Blue hydrogen hub (~720 MW) with CO₂ capture and storage;UK;Humber, UK;;Industrial;Industrial;Hydrogen;Hydrogen;53.6395206226584;-0.274752384693114;Onshore;1600000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;Part of East Coast Cluster;;https://www.uniper.energy/solutions/energy-transformation-hubs/energy-transformation-hub-killingholme/project-humber-h2ub;;;;;;;;;;;CATF
GB-015;CATF;Teeside Hydrogen CO2 Capture;BOC;Capture from hydrogen production;UK;Teesside, UK;;Industrial;Industrial;Hydrogen;Hydrogen;54.6021278357;-1.1912894798;Onshore;200000;Dedicated Saline Storage;Dedicated Saline Storage;2020;;In Development;Part of East Coast Cluster;;https://www.boconline.co.uk/en/images/teesside-hydrogen-co2-capture-project_tcm410-676911.pdf;;;;;;;;;;;CATF
GB-016;CATF;Vertex HPP1&2;Essar Oil, Progressive Energy;Capture from planned hydrogen production facility, 2 stages, part of HyNet cluster;UK;Liverpool, UK;;Industrial;Industrial;Hydrogen;Hydrogen;53.2767620129924;-2.85159076780061;Onshore;2300000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2022;;In Development;Part of Hynet Cluster, selected to progress government cluster sequencing;;https://vertexhydrogen.com/;;;;;;;;;;;CATF
GB-017;CATF;Tarmac Carbon Capture;Tarmac;Cement plant CO₂ capture (Peak Cluster);UK;Derbyshire, UK;;Industrial;Industrial;Cement;Cement;53.214343;-1.85169;Onshore;610000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;2030;In Development;Part of Peak Cluster;;https://peakcluster.co.uk/about/;;;;;;;;;;;CATF
GB-018;CATF;Cauldon Carbon Capture (Holcim);Holcim (Aggregate Industries);Cement plant CO₂ capture (Peak Cluster);UK;Derbyshire, UK;;Industrial;Industrial;Cement;Cement;53.04;-1.87;Onshore;114000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2020;2030;In Development;Part of Peak Cluster;;https://peakcluster.co.uk/about/;;;;;;;;;;;CATF
GB-019;CATF;Pembroke Power Station CCS;RWE;CO2 capture from gas fired power station, exploring partnership with Pembroke Net Zero Centre ;UK;Pembroke, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;51.6830474731169;-4.99482772067111;Onshore;5000000;Unknown;Unknown;2023;;In Development;;May;https://uk-ireland.rwe.com/rwe-generation-uk/rwes-carbon-capture-projects/;;;;;;;;;;;CATF
GB-020;CATF;Stallingborough Power Station CCS;RWE;CO2 capture from newly planned gas fired power station, exploring options for transport and storage with Viking CCS;UK;Stallingborough, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.5872;-0.1732;Onshore;2000000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2023;;In Development;;May;https://uk-ireland.rwe.com/rwe-generation-uk/rwes-carbon-capture-projects/;;;;;;;;;;;CATF
GB-021;CATF;Staythorpe Power Station CCS;RWE;CO2 capture from gas fired power station, exploring options for transport and storage with Viking CCS;UK;Staythorpe, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.0753358407821;-0.856732914771289;Onshore;5000000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2023;;In Development;Part of Viking CCS Cluster;May;https://uk-ireland.rwe.com/rwe-generation-uk/rwes-carbon-capture-projects/;;;;;;;;;;;CATF
GB-022;CATF;Keadby Power;SSE Thermal, Equinor;Carbon capture at gas power plant;UK;Keadby, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.5951663999624;-0.739575384287058;Onshore;1500000;Unknown;Unknown;2021;;In Development;Part of East Coast Cluster;;https://www.ssethermal.com/flexible-generation/development/keadby-3-carbon-capture/;;;;;;;;;;;CATF
GB-023;CATF;Marchwood Power Station;Marchwood Power Ltd;CCS on natural gas power plant;UK;Marchwood, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;50.8996357258913;-1.43808859830538;Onshore;1400000;Unknown;Unknown;;;In Development;;;https://www.sse.com/media/1yujh34m/sustainability-report-2023-final.pdf;;;;;;;;;;;CATF
GB-024;CATF;Net Zero Teesside Power  ;NZT Power, NOF;Plans to be worls frist commercial scale Gas power plant with CCS, 860MW. Part of East Coast Cluster;UK;Tesside, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;54.6099836529238;-1.19659717368226;Onshore;2000000;Unknown;Unknown;2022;2028;Under Construction;FID taken in December 2024;;https://www.netzeroteesside.co.uk/news/greenlight-for-net-zero-teesside-power/;;;;;;;;;;;CATF
GB-025;CATF;Peterhead Carbon Capture;SSE Thermal and Equinor;Proposed Peterhead Carbon Capture Power Station would be a new 900MW power station on the Aberdeenshire coast;UK;Peterhead, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;57.477854;-1.789046;Onshore;1500000;Depleted Gas Reservoir and Saline Storage;Depleted Gas Reservoir and Saline Storage;2021;;In Development;Scottish Cluster;;https://www.peterheadcarboncapture.com/;;;;;;;;;;;CATF
GB-026;CATF;VPI Immingham Power CCS;VPI;Carbon capture at CHP gas plant;UK;Inningham, UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.637846179;-0.23692594616;Onshore;2430000;Dedicated Saline Storage;Dedicated Saline Storage;2021;;In Development;Part of Viking CCS;;https://vpi.co.uk/news/archive/vpi-immingham-a-case-study-for-ccs-in-power/;;;;;;;;;;;CATF
GB-027;CATF;West Burton Energy;EIG/Edf Energy (West Burton Power) ltd;Capture from CCGT plant, part of Viking CCS;UK;UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.363037021;-0.79877862805;Onshore;1790000;Dedicated Saline Storage;Dedicated Saline Storage;;;In Development;Part of Viking CCS;;https://www.harbourenergy.com/news-and-media/latest-news/2022/viking-ccs-welcomes-west-burton-energy/;;;;;;;;;;;CATF
GB-028;CATF;Whitetail Clean Energy;Sembcorp, 8 Rivers Capital;Construction of a 350 MW Allam Cycle power plant with NET Power technology;UK;UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;54.5751243489298;-1.12701073251596;Onshore;800000;Unknown;Unknown;;;In Development;Part of East Coast Cluster;;;;;;;;;;;;;CATF
GB-029;CATF;Connah's Quay Low Carbon Power;Uniper;Capture from gas power plant;UK;UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;53.232321;-3.081545;Onshore;2400000;Depleted Oil or Gas Reservoir;Depleted Gas Reservoir;2024;2030;In Development;;;;;;;;;;;;;;CATF
GB-030;CATF;Grain CCGT;Uniper;Capture from gas power plant;UK;UK;;Heat and Power;Heat and Power;Natural Gas;Natural Gas;51.443151;0.708214;Onshore;2000000;Unknown;Unknown;2024;2030;In Development;;;;;;;;;;;;;;CATF
GB-031;CATF;South Wales Industrial Cluster (SWIC);RWE, Progressive Energy, Cadent, Valero, Tata Steel, BOC, South Hook, Wales & West Utilities, Western Power Distribution, Rice, Flexis ;Blue hydrogen, power, steel, undetermined storage;UK;UK;;Industrial;Industrial;Other Subsector;Steel, refinery, chemicals, cement, power - CO2 export terminal;51.68289;-4.99484;Onshore;15000000;Unknown;Unknown;2019;;In Development;;;https://www.swic.cymru/;;;;;;;;;;;CATF
